Nhận xét đánh giá,Cảm xúc
Bài giảng dễ hiểu,bình thường
giảng viên nhiệt tình,bình thường
Giảng viên có kiến thưc sâu rộng và trình bày chính xác các kiến thức cơ bản của môn học,bình thường
không có nhận xét,bình thường
Dạy nhiệt tình dễ hiểu bài,bình thường
Giảng viên dạy nhiệt tình ,bình thường
Không có,bình thường
môn học hay ,bình thường
dạy de hieu,bình thường
không có,bình thường
Không có,bình thường
không có ý kiến,bình thường
không co nhan xet gi,bình thường
thầy rất tốt,bình thường
tốt,bình thường
giảng viên dạy dễ hiểu dễ tiếp thu,bình thường
thây nay day hay gây kick thick cho sv hoc,bình thường
Thây giang dê hiêu ,bình thường
tam on,bình thường
thầy dạy rất tốt,bình thường
Giáo viên tích cực giảng dạy Dễ hiểu,bình thường
Thầy giảng rất hay truyền lửa cho sinh viên môn học tiêu biểu,bình thường
thầy dạy hay dễ hiểu,bình thường
thầy dạy rất hay,bình thường
Em rất cảm ơn thầy vì khi học với thầy đã giúp em thêm nhiều kiến thức về kỹ năng mềm,bình thường
tốt tích cực,bình thường
Thầy dạy dễ hiểu,bình thường
Ok,bình thường
Giảng viên giảng dạy tốt rất nhiệt tình,bình thường
thay dạy hay nhiệt tình,bình thường
miễn bình luận,bình thường
tốt,bình thường
nice,bình thường
Không có nhận xét,bình thường
tốt,bình thường
Thầy giảng dạy tích cực nhiệt tình Môn học thú vị Nên đổi phòng học có chất lượng âm thanh và máy chiếu tốt hơn,bình thường
Thầy giảng bài dễ hiểu khung điểm rõ ràng,bình thường
thây day rât nhiêt tinh,bình thường
Rất tốt,bình thường
Ko có nhận xét gì ,bình thường
Thầy nhiệt tình trong bài giảng Cung cấp thêm rất nhiều kiến thức thực tế Cho sinh viên tiếp cận với  số công nghệ mới,bình thường
thầy dạy nhiệt tình,bình thường
Rất hài lòng,bình thường
Thầy dạy vui vẻ nhiệt tình với sinh viên,bình thường
vui tinh,bình thường
Thầy nhiệt tình giảng dạy dễ hiểu,bình thường
THầy dạy hay và tốt lắm,bình thường
thầy dạy nhiệt tình,bình thường
tốt,bình thường
Tốt,bình thường
Gv có kiến thức sâu rộng trình bày rõ ràng dễ hiểu,bình thường
Tốt,bình thường
Không có ý kiến thêm,bình thường
thây day rât vui tinh va dê hiêu,bình thường
dạy tốt,bình thường
giao vien nhiệt tình,bình thường
Thầy dạy tốt,bình thường
Thây day rât tôt,bình thường
Thầy dạy dễ hiểu nói rất nhiều kiến thức mới ,bình thường
Giảng viên nhiệt tình,bình thường
tích cực thân thiện,bình thường
Rất thích được học dưới sự chỉ dạy của thầy,bình thường
giảng viên nhiệt tình vui tính,bình thường
tôt,bình thường
Nhiệt tình chu đáo giỏi chuyên môn,bình thường
vẫn mong muốn được học thầy,bình thường
Tốt,bình thường
Không có nhận xét,bình thường
Môn học thú vị,bình thường
Thay dạy qua nhanh không the nam bat kip qua ngan gon kho hieu,bình thường
thầy dạy hay quên hay sai,bình thường
Tốt,bình thường
Dạ không có ạ,bình thường
Bóng hay bị xẹp ,bình thường
tốt,bình thường
Thầy dạy tốt,bình thường
giảng viên ít cho làm bài tập để rèn kĩ năng giải đề cho sinh viên,bình thường
Thầy hiềnnhiệt tình,bình thường
Thầy hiềndạy kĩnhiệt tình,bình thường
Tốt,bình thường
Giang viên day tôt,bình thường
Không có nhận xét và đề xuất,bình thường
tốt,bình thường
Thây day rât hay,bình thường
Tốt,bình thường
Tốt,bình thường
Tốt,bình thường
Thầy rất công bằng và nhiệt tình,bình thường
không co ý kiến ,bình thường
Dạy tốt,bình thường
K,bình thường
Giáo viên dạy tốt,bình thường
Môn học rất tốt ,bình thường
Thầy giảng bài dễ hiểu,bình thường
Tốt,bình thường
Cô dễ tính hoà đồng với lớp cô có tạo nhiều cơ hội cho SV lấy điểm,bình thường
Cô dạy tốt kiến thức và chuyên môn vững ,bình thường
Em thich cach day cua Cô,bình thường
giảng viên có chuyên môn tốt ,bình thường
Nhiêt tinh,bình thường
cô dạy rất tận tình,bình thường
Cũng đuọce,bình thường
Tương đối tốt,bình thường
Tốt,bình thường
Tốt,bình thường
Cô nhiệt tình ,bình thường
Cô dạy nhiệt tình và dễ hiểu,bình thường
dạy hay,bình thường
very goods,bình thường
Tốt rất có trách nhiệm,bình thường
Dạy tốt,bình thường
Môn học được giảng viên giảng dạy tốt  em hài lòng với cách làm việc của giảng viên,bình thường
Không có ý kiến,bình thường
Được,bình thường
Cách giảng dạy chưa tạo được hứng thú cho sinh vien nghe giảng ,bình thường
không co,bình thường
Em nghĩ cô nên giảng chậm lại tý ạ,bình thường
Cô cứ dễ thương như vậy cô nhé,bình thường
Không,bình thường
một số bài giáo viên giảng nhanh dẫn đến chưa nắm rõ kiến thức,bình thường
giảng viên giảng dạy tốt,bình thường
Giảng viên dạy hiểu nhiệt tình dễ tiếp thu,bình thường
nghiêm khắc trong giảng dạy nhiệt tình,bình thường
giang viên nhiêt tinh,bình thường
Giảng viên công bằng ,bình thường
tốt,bình thường
Khong,bình thường
Cô dạy hay nhưng có lẽ vì kiến thức quá cao nên sinh viên khó tiếp thu được,bình thường
Giảng viên nhiệt tình giảng dậy sử dụng phương pháp mới để truyền đạt cho sinh viên dễ hiểu và nắm được bài nhanh hơn,bình thường
Giáo viên nhiệt tình tâm huyết,bình thường
cô luôn truyền đạt kiến thức mới,bình thường
Giảng viên nên cho nhiều bài tập ví dụ thiết thực sát với bài học hơn,bình thường
giảng viên dạy hay  dễ hiểu,bình thường
Cco dạy rất nhiệt tình cho ví dụ ngay s khi học lý thuyếtPhương pháp dạy dể hiểu,bình thường
giang vien co kien thuc sau rong,bình thường
Tốt ,bình thường
Không nhận xét,bình thường
Giảng viên giảng dạy nhiệt tình,bình thường
không có,bình thường
Tốt,bình thường
Không có,bình thường
dạy khó hiểu,bình thường
dạy nhiệt tình,bình thường
tôt,bình thường
Cô Ngọc là người công tư phân minhcó trách nhiệm với công việcquan tâm học sinhMong rằng cô sẽ có nhiều phương pháp hay hơn nữa để giảng dạy chúng em,bình thường
Tốt,bình thường
Sân bóng chuyên mỗi lần mưa xuống là ướt  Lãng phí  khoảng thời gian dọn nước trên sân rồi mới vô tập luyện,bình thường
Dạy còn khá nhanh,bình thường
GV Giang tốt,bình thường
giảng dạy chi tiết về bài tập và kiến thức hơn,bình thường
Em hoc luật mà lại học toán cáo cấp không biết sao,bình thường
Cô giao giảng bài dễ hiểunhiệt tình,bình thường
Cô dạy hơi bị nhanh,bình thường
Dạy nhanh ,bình thường
Tốt,bình thường
Dạy hơi nhanh,bình thường
giảng hay,bình thường
giảng chậm lại,bình thường
Giảng viên dạy nhiệt tình có kiến thức sâu rộng trình bày nội dung bài giảng rõ ràng và dễ hiểu các giờ giảng rất thú vị và vui vẻ để giúp sinh viên dễ hiểu bài hơn,bình thường
nhiệt tình,bình thường
không có gì đánh giá,bình thường
Cô dạy nhiệt tình ,bình thường
Giảng viên chức dạy khó hiểu Giảng bài nhanh ,bình thường
Tốt,bình thường
Cô dạy tốt,bình thường
giao viên day kho hiêu  không thân thiêt vơi sinh viên,bình thường
tốt ,bình thường
Kiến thức đảm bảo hoàn thành tốt môn học,bình thường
Tốt,bình thường
Cần khắc phục cách dạy,bình thường
môn học này không thấy được những yêu cầu mà nghành em được đề ra học không được khoa học,bình thường
Gv giảng nhiệt tình ,bình thường
tốt,bình thường
giảng viên nhiệt tình giảng dạy dễ hiểu,bình thường
Giảng viện tích cực vui vẻ,bình thường
Đươc,bình thường
không ý kiến,bình thường
Tot,bình thường
Thầy dạy hay rất nhiệt tình,bình thường
Thầy dạy hay nhưng khó hiểu ,bình thường
thầy dạy rất tốt,bình thường
rất tốt,bình thường
Môn hoc hay Giao viên nhiêt tinh giang day,bình thường
Tạm tốt,bình thường
Không hài lòng về GVHD môn học này GV vào giới thiệu là giáo sư nhưng cách giãng dậy rất khó hiểu và làm cho SV nhàm chán trong môn học,bình thường
Thây giang chưa thât sư dê hiêu,bình thường
cách thầy dạy quá cao,bình thường
Giang vien dạy de hieu,bình thường
thầy dạy rất hay rõ ràng dễ hiểu ,bình thường
thay dạy hoi kho hieu cach giang bai sv cgua tiep thu dc tốt,bình thường
Giảng viên dạy tốt,bình thường
tốt,bình thường
tốt,bình thường
lầy,bình thường
Tốt,bình thường
giang viên vui ve phương phap giang day dê tiêp thu ,bình thường
good,bình thường
Thây co hơi nghiêm khăc nhưng cung co hai hươc Giang bai dê hiêu bai tâp vưa sưc vơi em Em cam thây hai long vê thây nhưng co phân thây quy luât công va trư điêm cua thây ba đao qua hehe,bình thường
tốt ,bình thường
thầy dạy tốt,bình thường
em không có đề xuất gì thêm,bình thường
không ý kiến,bình thường
Tốt,bình thường
môn học hay,bình thường
Thầy dạy dễ hiểu và tận tâm,bình thường
Chưa dạy hết kiến thức nhu trong sách,bình thường
môn học giúp nâng cao kiến thức về toán,bình thường
Thầy dạy hay và cách dạy rất đặc biệt và thú vị,bình thường
thầy dạy vui súc tích dễ hiểu hiệu quả,bình thường
Giáo viên dạy tốt,bình thường
giáo viên dạy dể tiếp thu,bình thường
giáo viên khá chán không lôi cuốn trong giảng dạy,bình thường
không hiểu,bình thường
không co nhan xet,bình thường
không có nhận xét gì ,bình thường
đừng cho cô dạy toán nhất là toán cao cấp thank,bình thường
Ok ạ,bình thường
không có nhận xét,bình thường
GOOD,bình thường
Gíao viên nhiệt tình,bình thường
Hòa Đồng Với Sinh Viên  Tốt ,bình thường
Tot,bình thường
Rất tốt  ,bình thường
Không có nhận xét,bình thường
Day gioi cưc gioi,bình thường
Không có nhận xét,bình thường
Tốt,bình thường
không ý kiến,bình thường
Cô dạy dễ hiểu nhưng không điểm danh thường xuyên mất công bằng với các bạn đi học thường xuyên,bình thường
tốt,bình thường
Em xin nhận xét là cô giảng dạy rất nhiệt tình Cô rất chu đáo,bình thường
nhiệt tình giảng bài rất thu hút,bình thường
tốt,bình thường
Giảng viên rất nhiệt tình với sinh viên không có đề xuất gì với môn học này,bình thường
Không có,bình thường
giáo viên dạy tốt,bình thường
Binh thuong,bình thường
cô dạy rất hay,bình thường
cô dạy khó hiểu giảng bài nhanh ,bình thường
Hay nhiệt tình quan tâm sv,bình thường
cô dạy hay nhưng mong rằng cô sẽ đưa một số cách tính nhanh cho bài tập vì thi là trắc nghiệm,bình thường
Mong cô cải thiện hơn cách giảng không nên quá dài dòng khiến sinh viên chán nản buồn ngủ,bình thường
cô rất tuyệt,bình thường
Tốt,bình thường
Được,bình thường
dễ hiểu,bình thường
em không có ý kiến,bình thường
Tot,bình thường
Cần giảng nhiều với bài tập hơn ,bình thường
rất là tốt ạ,bình thường
Không,bình thường
tạm được,bình thường
nhiệt tình,bình thường
tạm chấp nhận chưa thật sự tốt,bình thường
rất tốt,bình thường
dễ hiểu,bình thường
dễ hiểu,bình thường
Thầy dạy khá ổn,bình thường
Không có gi đánh giá,bình thường
môn học khó,bình thường
tốt,bình thường
không,bình thường
thầy  dạy chậm và nói rõ,bình thường
thầy chọn sai nghề rồi,bình thường
Tốt,bình thường
tốt,bình thường
không y kiến,bình thường
không có,bình thường
Giảng viên dạy dễ hiểu,bình thường
Thầy dạy tạm được không công tâm,bình thường
môn hoc tôt ,bình thường
Dạy khó hiểu,bình thường
Giảng viên quá khắc khe với sinh viên cách giảng dạy khó tiếp thu nói chung là không hài lòng với cách dạy và thái độ của giảng viên,bình thường
Nhiệt tình trong khi giảng dạy,bình thường
tốt,bình thường
Giáo viên truyền đạt kiến thức không hay,bình thường
rất hài lòng với cách giảng dạy của thầyem hi vọng học kì sao sẽ tiếp tục gặp thầy,bình thường
không có nhận xét,bình thường
không,bình thường
Tôi hài lòng và không có ý kiến gì về môn học này,bình thường
Tốt,bình thường
Không có ý kiến,bình thường
Day kho hieu  không nhiệt tình ,bình thường
tốt,bình thường
Giảng viên giảng dễ hiểu,bình thường
không có đề xuất gì,bình thường
Tốt,bình thường
tạm,bình thường
Thầy giảng nhiệt tình,bình thường
Cách giảng dạy chưa làm sinh viên hứng thú,bình thường
Không có nhận xét,bình thường
Tốt,bình thường
thầy dạy dễ hiểu Nhưng hy vọng thầy sắp xếp công việc để dạy thường xuyên Thầy thường xuyên bận và nhờ giảng viên khác dạy thế,bình thường
Giảng viên giỏi giảng dạy tốt ,bình thường
Không có,bình thường
Tốt,bình thường
thời gian học cần được kéo dài thêm,bình thường
Tốt,bình thường
ổn,bình thường
Không có,bình thường
không ổn,bình thường
Thầy giảng bài kỹ càng,bình thường
 em k có ý kiến gì ,bình thường
Binh thường,bình thường
khôn ý kiến,bình thường
Vì thầy nói giọng miền trung nên khi học đôi khi khó khăn và cách thầy dạy có vẻ chán  chỉ đọc slide giảng và học thôi,bình thường
Tốt,bình thường
thầy chưa truyền đạt được nhiều nội dungnhiệt tình với sinh viên nhưng giảng dạy mờ nhạt khiến nhiều sinh viên cảm thấy không hứng thú với môn học,bình thường
học rất vui và thoải mái lắm ạ,bình thường
đươc,bình thường
ok,bình thường
không,bình thường
Giọng giảng viên hơi khó nghe nhưng khá nhiệt tình trong việc giảng giải cho sinh viên,bình thường
Không có,bình thường
Tốt ,bình thường
Thầy dạy giỏiCó tính kỷ luật caoCó tâm với nghềCần có những giáo viên như vậy,bình thường
thầy dạy hay nhiệt tình,bình thường
Tốt,bình thường
ok,bình thường
Không,bình thường
Rất nhiệt tình đối với học sinh sẵn  sàng giải đáp thắc mắc cho sinh viên,bình thường
giảng viên rất nhiệt tình với sinh viên,bình thường
Chúc một ngày làm việc tốt lành  ,bình thường
Giáo viên tận tụy ,bình thường
thầy vui tính,bình thường
Tốt,bình thường
không có đề xuất,bình thường
giảng nhiệt tình dễ hiểu,bình thường
Thầy dạy rất hay,bình thường
môn học quan trọng giáo viên rất nhiệt tình,bình thường
Tốt,bình thường
thây day vui ve hoa đông dê tiêp thu co tinh thân trach nhiêm,bình thường
môn học giúp em bổ xung được nhiều kiến thức,bình thường
Thầy dạy haynhiệt tìnhhướng dẫn làm bai tap nhiệt tinh ,bình thường
 Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,bình thường
Tốt,bình thường
Không có ý kiến gì thêm,bình thường
Thầy đẹp trai ,bình thường
thầy dạy rất tốt nhiệt tình hơi giống kiểu cấp   nghiêm khắc  nhưng chính vì vậy mà ai cũng học tập rất tốt và thích thầy,bình thường
Tốt,bình thường
Thầy nhiệt tình trong giảng dạy,bình thường
Giảng viên dạy tốt ,bình thường
ổn cần cải thiện tài liệu học tập,bình thường
Tốt,bình thường
rất hay dể hiểu và vui vẻ,bình thường
tận tâm chu đáo ,bình thường
Thầy giải dậy rất nhiệt tình,bình thường
Thầy giảng dạy rất tốt  dễ hiểu bài  nhiệt tình truyền đạt,bình thường
tốt,bình thường
thầy dạy rất tốt kiến thức sâu rộng dạy dễ hiểu cho tụi em vận dụng nhiềuthích được học thầy,bình thường
thầy dạy rất dễ hiểu,bình thường
Oke,bình thường
thay dạy qua hay ,bình thường
Thầy dạy rất nhiệt tình vui vẻ,bình thường
Giảng viên dạy nhiệt tình hay và rất vui tính,bình thường
GOod,bình thường
tốt,bình thường
thầy dạy tốt,bình thường
tốt,bình thường
tốt,bình thường
Tốt,bình thường
Không có đề xuất,bình thường
thầy nhiệt tinh,bình thường
thầy dạy tuyệt vời rất dễ hiểu và cuốn hút,bình thường
Thầy giảng rất hay,bình thường
trưởng bộ môn toán của trường thì tất nhiên kh có gì để ns rồi,bình thường
Thầy dạy rất dễ hiểu,bình thường
Thầy dạy cực hay có tội chép phạt gãy cả tay,bình thường
Thầy dạy học rất nhiệt tình và dễ hiểu,bình thường
được,bình thường
hieu duoc  ,bình thường
giảng viên nhiệt tìnhgiảng dạy tốt,bình thường
nhiệt tình voi sv,bình thường
hài lòng,bình thường
Gv dạy nhiệt tình nhưng mà còn khó khăn khi giải thích vấn đề sinh viên thắc mắc,bình thường
Không có đề xuất,bình thường
Thầy có chuyên môn sâu nhưng giảng hơi khó hiểu cần cải thiện,bình thường
Được ,bình thường
Tốt,bình thường
ít chữi học sinh nhiều hơn,bình thường
không,bình thường
tốt,bình thường
Tốt Giảng dạy tích cực,bình thường
Worse,bình thường
Thầy tuy dạy dễ hiểu nhưng chỉ lấy điểm lên bảng làm điểm giữa kỳ k tổ chức thi giữa kỳ có nhiều bạn không có điểm giữa kỳ,bình thường
thầy dạy giỏi,bình thường
Tốt,bình thường
thầy dạy hay dễ hiểu,bình thường
thầy dạy nhiệt tình  quan tâm đến học sinh ,bình thường
giảng viên tốt,bình thường
tốt,bình thường
Thầy giảng dễ hiểu,bình thường
Tốt,bình thường
Tốt,bình thường
Thầy nhiệt tìnhcho nhiều ví dụ ,bình thường
bình thường,bình thường
Mon hoc bo ich giuo toi biet ve mach dem Biet lam  mach dem ,bình thường
giảng viên rất nhiệt tình trong tiết học giảng bài dễ hiểu quan tâm sinh viên nhiềuEm đề xuất cho thầy tiếp tục giảng dạy cho chúng em học kì tiếp theo,bình thường
không có ý kiến gì thêm,bình thường
Thay dạy tốt,bình thường
Tốt,bình thường
Tốt,bình thường
tuyệt vời,bình thường
Cô dạy dễ hiểu ,bình thường
không,bình thường
Cô dạy rất hay giảng bài rất dễ hiểu tận tụy với sinh viên,bình thường
Thầy còn trẻ và khó tính ,bình thường
thầy luôn xem thường sinh viên không cho sinh viên có tiếng nói  hỏi thầy bài thì thầy không trả lời nhiệt tình mà toàn nói tại không đi học nên biết gì đâu mặc dù e đi học không nghỉ ngày nào Em hỏi bài thầy lớp bên cạnh thì thầy nói với thầy kia là dạy nó nhiều quá nó có biết gì đâu,bình thường
Khong có,bình thường
Quá Tồi,bình thường
Em không có ý kiến,bình thường
Nhiêt tinh  dê hiêu,bình thường
GOOd,bình thường
cần có thời gian nhiều hơn cho môn học giờ thực hành không hiệu quả,bình thường
môn học không khó thầy dạy dể hiểu thank thầy,bình thường
Thây rât nhiêt tinh,bình thường
Nhiệt tình giảng dạy,bình thường
Môn học của thầy rất thú vị Kiến thức thức giảng dạy rất sâu sắc,bình thường
tốt ,bình thường
không ý kiến,bình thường
dạy lý thuyết chiếm nhìu chưa đi đôi vs thực hành tạo không khí chán nãn,bình thường
giáo viên giảng dạy tốt cần nhiệt tình hơn với học sinh,bình thường
thầy dạy dễ hiểu và nhiệt tình,bình thường
TỐt,bình thường
Em thích cách giảng bài của thầy ,bình thường
không ý kiến,bình thường
không có gì,bình thường
Thầy giảng dễ hiểu,bình thường
giảng dạy nhiệt tìnhvui vẻ có kiến thức rộng nhưng truyền đạt chưa tốt lắm,bình thường
tốt,bình thường
Thầy dạy rất chán kiến thức thì tạm ổn Cách dạy rất không khoa học cư sử không đúng mực với sinh viên gì mà trả bài cũ không được lại bắc hít đất E chã hiễu thầy cư xử sao nữa,bình thường
chưa tốt,bình thường
Giảng viên dạy nhiệt tình nội dung bài dễ hiểu rõ ràng,bình thường
Giáo viên dạy tốt,bình thường
Dạy bình thường giảng dạy cho sinh viên không nhiệt tình,bình thường
CHi dân không tân tinh,bình thường
Thầy vui tính gần gũi với sinh viên,bình thường
Tốt,bình thường
Thầy dạy không nhiệt tình chấm bài cho sinh viên rất thấp điểm mặc dù làm đúng bài không hài lòng về cách giảng dạy,bình thường
mong thầy trình bày slide bài giảng chữ to hơn ,bình thường
Không có nhận xét,bình thường
được,bình thường
giảng viên dạy tốt,bình thường
học rất vui và thoải mái lắm ạ,bình thường
Giảng viên dạy quá nhàm chán,bình thường
không có ý kiến ,bình thường
không đề xuất,bình thường
Tốt,bình thường
không,bình thường
Rất tốt,bình thường
vui vẻ dễ hiểu,bình thường
Thầy tận tâm,bình thường
tốt,bình thường
Giáo viên giảng dạy nhiệt tình hăng say Bài giảng sinh động giúp học sinh dễ tiếp thu bài,bình thường
tốt,bình thường
thầy dạy tốt,bình thường
rất tốt,bình thường
giảng viên nhiệt tình trong giảng dạy,bình thường
tốt,bình thường
Tốt,bình thường
giáo viên dạy tốt,bình thường
Ok,bình thường
good,bình thường
Thầy dạy giỏi,bình thường
thích,bình thường
sao k cho tick vô co hêt vây ,bình thường
tốt,bình thường
giảng hay nên gợi ý hướng đi cho sinh vien về giải quyêt bài tập,bình thường
không có,bình thường
tích cực tốt,bình thường
Hay,bình thường
tốt,bình thường
Cô thân thiện và các tiết học đều rất thú vị,bình thường
tốt,bình thường
Không có,bình thường
có tâm huyết,bình thường
tạm ổn,bình thường
giảng dạy nhiệt tình,bình thường
Tốt,bình thường
Không,bình thường
Thầy nên cho làm bài tập nhiều hơn vì đề thi phần bài tập quá khó,bình thường
thầy nhiệt tình dạy dễ hiểu,bình thường
Không có đề xuất,bình thường
Giáo viên dạy rất nhiệt tình ,bình thường
Tốt,bình thường
Thầy dạy dễ hiểu Môn học không khó lắm Dễ học,bình thường
không có ý kiến gì thêm,bình thường
Rất tốt,bình thường
Không nhận xét,bình thường
k ý kiến,bình thường
thầy dạy hay dễ hiểu làm bài tập nhiều để thi và kiểm tra tốt điểm cao,bình thường
Không có,bình thường
thầy và cách dạy của thầy em rất nhiệt tình và quyết tâm,bình thường
thay dạy cung tốt,bình thường
ok,bình thường
Giảng viên dạy tốt,bình thường
Không  có đề xuất gì thêm,bình thường
thầy dạy rất sát bài học,bình thường
Không có ý kiến,bình thường
Tốt,bình thường
Không có ý kiến ,bình thường
Tốt,bình thường
Em cảm ơn Thầy đã truyền đạt những kiến thức bổ ích về môn Kiến trúc máy tính,bình thường
tích cực,bình thường
Cảm ơn thầy,bình thường
không có đề xuất,bình thường
rất tốt,bình thường
Tốt,bình thường
K ý kiến,bình thường
Thầy Hào dạy lý thuyết dạy hay hiểu tâm lý sinh viên,bình thường
Gv giảng dạy nhiệt tình nội dung rõ ràng dễ hiểu,bình thường
nản,bình thường
thầy dạy rất chu đáo giảng rất dễ hiểu,bình thường
Không có nhận xét,bình thường
tốt,bình thường
Tốt,bình thường
Vì không đi học đầy đủ nên không biết,bình thường
Không ý kiến,bình thường
tốt,bình thường
tốt ,bình thường
tôt,bình thường
dạy khó hiểu như sách đọc ra ,bình thường
đồng ý,bình thường
ok,bình thường
Không có ý kiến,bình thường
tốt,bình thường
 em k có ý kiến gì ,bình thường
không,bình thường
tốt,bình thường
không,bình thường
TOT,bình thường
dạy rất tốt,bình thường
tốt,bình thường
Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,bình thường
tốt,bình thường
không,bình thường
giảng viên rất gần với sinh viên,bình thường
không có ,bình thường
không có gì,bình thường
không có,bình thường
thầy giáo giỏi,bình thường
không,bình thường
tốt,bình thường
tốt,bình thường
tốt,bình thường
không có ý kiến,bình thường
Ok,bình thường
quan tâm sinh viên,bình thường
cảm thấy hài lòng,bình thường
môn học khá khó hiểu,bình thường
Rất hài lóng,bình thường
Cô là người tuyệt vời nhất mà e từng thấy  ,bình thường
khá hài lòng,bình thường
cô nên dạy nhiệt tình hơn,bình thường
tốt,bình thường
good,bình thường
không co,bình thường
Giảng viên dạy  rất dễ hiểu,bình thường
Thầy dạy hay,bình thường
Thầy giảng bài dễ hiểu,bình thường
cô dạy nhiệt tình,bình thường
tốt,bình thường
Giảng viên giảng dạy tốt nhiệt tình,bình thường
Ổn,bình thường
Không có ý kiến gì thêm,bình thường
Không có,bình thường
Rất tốt ạ ,bình thường
thầy dạy tốt,bình thường
